path,LF,RF,LM,RM,LH,RH,clip_id,t,already_composited
frames\WoWScrnShot_091426_035037.jpg,0,0,1,0,0,0,WoWScrnShot_091426_035037,0.0,0
frames\WoWScrnShot_091426_035038.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035038,0.0,0
frames\WoWScrnShot_091426_035039.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035039,0.0,0
frames\WoWScrnShot_091426_035049.jpg,0,0,0,0,1,0,WoWScrnShot_091426_035049,0.0,0
frames\WoWScrnShot_091426_035050.jpg,0,0,0,0,1,0,WoWScrnShot_091426_035050,0.0,0
frames\WoWScrnShot_091426_035051.jpg,0,0,0,0,1,0,WoWScrnShot_091426_035051,0.0,0
frames\WoWScrnShot_091426_035056.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035056,0.0,0
frames\WoWScrnShot_091426_035059.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035059,0.0,0
frames\WoWScrnShot_091426_035101.jpg,0,1,0,0,0,0,WoWScrnShot_091426_035101,0.0,0
frames\WoWScrnShot_091426_035103.jpg,0,1,0,0,0,0,WoWScrnShot_091426_035103,0.0,0
frames\WoWScrnShot_091426_035104.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035104,0.0,0
frames\WoWScrnShot_091426_035110.jpg,0,0,1,0,0,0,WoWScrnShot_091426_035110,0.0,0
frames\WoWScrnShot_091426_035112.jpg,0,0,1,0,0,0,WoWScrnShot_091426_035112,0.0,0
frames\WoWScrnShot_091426_035115.jpg,0,0,0,0,1,0,WoWScrnShot_091426_035115,0.0,0
frames\WoWScrnShot_091426_035117.jpg,0,1,0,0,0,0,WoWScrnShot_091426_035117,0.0,0
frames\WoWScrnShot_091426_035118.jpg,0,1,0,0,0,0,WoWScrnShot_091426_035118,0.0,0
frames\WoWScrnShot_091426_035121.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035121,0.0,0
frames\WoWScrnShot_091426_035122.jpg,0,0,1,0,0,0,WoWScrnShot_091426_035122,0.0,0
frames\WoWScrnShot_091426_035124.jpg,0,0,1,0,1,0,WoWScrnShot_091426_035124,0.0,0
frames\WoWScrnShot_091426_035125.jpg,0,1,0,0,0,0,WoWScrnShot_091426_035125,0.0,0
frames\WoWScrnShot_091426_035126.jpg,0,1,0,0,0,0,WoWScrnShot_091426_035126,0.0,0
frames\WoWScrnShot_091426_041102.jpg,1,1,0,1,0,0,WoWScrnShot_091426_041102,0.0,0
frames\WoWScrnShot_091426_041107.jpg,1,1,0,1,0,0,WoWScrnShot_091426_041107,0.0,0
frames\WoWScrnShot_091426_041112.jpg,1,1,0,1,0,0,WoWScrnShot_091426_041112,0.0,0
frames\WoWScrnShot_091426_041119.jpg,1,0,0,0,0,0,WoWScrnShot_091426_041119,0.0,0
frames\WoWScrnShot_091426_041120.jpg,0,0,1,0,0,0,WoWScrnShot_091426_041120,0.0,0
frames\WoWScrnShot_091426_041122.jpg,0,0,1,0,0,0,WoWScrnShot_091426_041122,0.0,0
frames\WoWScrnShot_091426_041124.jpg,0,0,1,0,1,0,WoWScrnShot_091426_041124,0.0,0
frames\WoWScrnShot_091426_041125.jpg,0,0,1,0,0,0,WoWScrnShot_091426_041125,0.0,0
frames\WoWScrnShot_091426_041127.jpg,0,1,0,0,0,0,WoWScrnShot_091426_041127,0.0,0
frames\WoWScrnShot_091426_041132.jpg,0,1,0,0,0,0,WoWScrnShot_091426_041132,0.0,0
